Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P39688	FYN_MOUSE	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene c-Fyn) (p59-Fyn)	Fyn	Mus musculus (Mouse)	537
P39905	GDNF_HUMAN	reviewed	Glial cell line-derived neurotrophic factor (hGDNF) (Astrocyte-derived trophic factor) (ATF)	GDNF	Homo sapiens (Human)	211
P04406	G3P_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335
P02794	FRIH_HUMAN	reviewed	Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]	FTH1 FTH FTHL6 OK/SW-cl.84 PIG15	Homo sapiens (Human)	183
P14136	GFAP_HUMAN	reviewed	Glial fibrillary acidic protein (GFAP)	GFAP	Homo sapiens (Human)	432
P35052	GPC1_HUMAN	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	GPC1	Homo sapiens (Human)	558
Q9QZF2	GPC1_MOUSE	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	Gpc1	Mus musculus (Mouse)	557
P46089	GPR3_HUMAN	reviewed	G-protein coupled receptor 3 (ACCA orphan receptor)	GPR3 ACCA	Homo sapiens (Human)	330
Q3TCV3	GSAP_MOUSE	reviewed	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	Gsap Pion	Mus musculus (Mouse)	858
A4D1B5	GSAP_HUMAN	reviewed	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	GSAP PION	Homo sapiens (Human)	854
P49840	GSK3A_HUMAN	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
Q99714	HCD2_HUMAN	reviewed	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2	Homo sapiens (Human)	261
P18265	GSK3A_RAT	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Factor A) (FA) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	Gsk3a	Rattus norvegicus (Rat)	483
Q9H4Y5	GSTO2_HUMAN	reviewed	Glutathione S-transferase omega-2 (GSTO-2) (EC 2.5.1.18) (Glutathione S-transferase omega 2-2) (GSTO 2-2) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2)	GSTO2	Homo sapiens (Human)	243
Q2NL51	GSK3A_MOUSE	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	Gsk3a	Mus musculus (Mouse)	490
P10909	CLUS_HUMAN	reviewed	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	CLU APOJ CLI KUB1 AAG4	Homo sapiens (Human)	449
P06276	CHLE_HUMAN	reviewed	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	BCHE CHE1	Homo sapiens (Human)	602
Q99828	CIB1_HUMAN	reviewed	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	CIB1 CIB KIP PRKDCIP	Homo sapiens (Human)	191
O95992	CH25H_HUMAN	reviewed	Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-monooxygenase) (h25OH)	CH25H	Homo sapiens (Human)	272
Q8K4Q8	COL12_MOUSE	reviewed	Collectin-12 (Collectin placenta protein 1) (CL-P1) (Scavenger receptor with C-type lectin)	Colec12 Clp1 Srcl	Mus musculus (Mouse)	742
Q5KU26	COL12_HUMAN	reviewed	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)	COLEC12 CLP1 NSR2 SCARA4 SRCL	Homo sapiens (Human)	742
Q4V885	COL12_RAT	reviewed	Collectin-12 (Collectin placenta protein 1) (CL-P1) (Nurse cell scavenger receptor 2)	Colec12 Clp1 Nsr2	Rattus norvegicus (Rat)	742
P34972	CNR2_HUMAN	reviewed	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	CNR2 CB2A CB2B	Homo sapiens (Human)	360
P14683	CLUS_MESAU	reviewed	Clusterin (Sulfated glycoprotein 2) (SGP-2) [Cleaved into: Clusterin beta chain; Clusterin alpha chain] (Fragment)	CLU	Mesocricetus auratus (Golden hamster)	191
Q8NBC4	CT203_HUMAN	reviewed	Uncharacterized protein C20orf203	C20orf203	Homo sapiens (Human)	194
Q9Y2W7	CSEN_HUMAN	reviewed	Calsenilin (A-type potassium channel modulatory protein 3) (DRE-antagonist modulator) (DREAM) (Kv channel-interacting protein 3) (KChIP3)	KCNIP3 CSEN DREAM KCHIP3	Homo sapiens (Human)	256
O94907	DKK1_HUMAN	reviewed	Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (hDkk-1) (SK)	DKK1 UNQ492/PRO1008	Homo sapiens (Human)	266
Q90839	DKK3_CHICK	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (Lens fiber protein CLFEST4)	DKK3	Gallus gallus (Chicken)	350
Q9UBT3	DKK4_HUMAN	reviewed	Dickkopf-related protein 4 (Dickkopf-4) (Dkk-4) (hDkk-4) [Cleaved into: Dickkopf-related protein 4 short form]	DKK4	Homo sapiens (Human)	224
Q15392	DHC24_HUMAN	reviewed	Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)	DHCR24 KIAA0018	Homo sapiens (Human)	516
P08174	DAF_HUMAN	reviewed	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
Q9QYZ8	DKK2_MOUSE	reviewed	Dickkopf-related protein 2 (Dickkopf-2) (Dkk-2) (mDkk-2)	Dkk2	Mus musculus (Mouse)	259
Q8VEJ3	DKK4_MOUSE	reviewed	Dickkopf-related protein 4 (Dickkopf-4) (Dkk-4)	Dkk4	Mus musculus (Mouse)	221
Q9UBP4	DKK3_HUMAN	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3)	DKK3 REIC UNQ258/PRO295	Homo sapiens (Human)	350
Q9UBU2	DKK2_HUMAN	reviewed	Dickkopf-related protein 2 (Dickkopf-2) (Dkk-2) (hDkk-2)	DKK2 UNQ682/PRO1316	Homo sapiens (Human)	259
Q8IZD9	DOCK3_HUMAN	reviewed	Dedicator of cytokinesis protein 3 (Modifier of cell adhesion) (Presenilin-binding protein) (PBP)	DOCK3 KIAA0299 MOCA	Homo sapiens (Human)	2030
Q16555	DPYL2_HUMAN	reviewed	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2)	DPYSL2 CRMP2 ULIP2	Homo sapiens (Human)	572
Q9UDY4	DNJB4_HUMAN	reviewed	DnaJ homolog subfamily B member 4 (Heat shock 40 kDa protein 1 homolog) (HSP40 homolog) (Heat shock protein 40 homolog) (Human liver DnaJ-like protein)	DNAJB4 DNAJW HLJ1	Homo sapiens (Human)	337
Q8CIQ7	DOCK3_MOUSE	reviewed	Dedicator of cytokinesis protein 3 (Modifier of cell adhesion) (Presenilin-binding protein) (PBP)	Dock3 Moca	Mus musculus (Mouse)	2027
Q9QUN9	DKK3_MOUSE	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (mDkk-3)	Dkk3	Mus musculus (Mouse)	349
P19525	E2AK2_HUMAN	reviewed	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551
Q80Z60	ECE2_MOUSE	reviewed	Endothelin-converting enzyme 2 (ECE-2) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]	Ece2	Mus musculus (Mouse)	881
P23141	EST1_HUMAN	reviewed	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	CES1 CES2 SES1	Homo sapiens (Human)	567
A1KXE4	F168B_HUMAN	reviewed	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	FAM168B KIAA0280L MANI	Homo sapiens (Human)	195
O35115	FHL2_RAT	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	Fhl2 Dral Slim3	Rattus norvegicus (Rat)	279
Q03898	FIN1_YEAST	reviewed	Filament protein FIN1 (Filaments in between nuclei protein 1)	FIN1 YDR130C YD9302.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291
O75369	FLNB_HUMAN	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602
Q14192	FHL2_HUMAN	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	FHL2 DRAL SLIM3	Homo sapiens (Human)	279
Q04609	FOLH1_HUMAN	reviewed	Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase)	FOLH1 FOLH NAALAD1 PSM PSMA GIG27	Homo sapiens (Human)	750
Q15011	HERP1_HUMAN	reviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)	HERPUD1 HERP KIAA0025 MIF1	Homo sapiens (Human)	391
P09429	HMGB1_HUMAN	reviewed	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	Homo sapiens (Human)	215
P17936	IBP3_HUMAN	reviewed	Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3)	IGFBP3 IBP3	Homo sapiens (Human)	291
Q8IVG9	HUNIN_HUMAN	reviewed	Humanin (Humanin mitochondrial) (HNM)	MT-RNR2 HN	Homo sapiens (Human)	24
P25021	HRH2_HUMAN	reviewed	Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)	HRH2	Homo sapiens (Human)	359
Q00560	IL6RB_MOUSE	reviewed	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	Il6st	Mus musculus (Mouse)	917
Q9UQF2	JIP1_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 1 (JIP-1) (JNK-interacting protein 1) (Islet-brain 1) (IB-1) (JNK MAP kinase scaffold protein 1) (Mitogen-activated protein kinase 8-interacting protein 1)	MAPK8IP1 IB1 JIP1 PRKM8IP	Homo sapiens (Human)	711
Q9UHC1	MLH3_HUMAN	reviewed	DNA mismatch repair protein Mlh3 (MutL protein homolog 3)	MLH3	Homo sapiens (Human)	1453
P03886	NU1M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 1.6.5.3) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Homo sapiens (Human)	318
P03891	NU2M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 2 (EC 1.6.5.3) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2	Homo sapiens (Human)	347
Q90512	ODO2_TAKRU	reviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K) (Fragment)	dlst	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	409
O75914	PAK3_HUMAN	reviewed	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)	PAK3 OPHN3	Homo sapiens (Human)	559
Q96A73	P33MX_HUMAN	reviewed	Putative monooxygenase p33MONOX (EC 1.-.-.-) (Brain-derived rescue factor p60MONOX) (Flavin monooxygenase motif-containing protein of 33 kDa)	KIAA1191 P33MONOX	Homo sapiens (Human)	305
Q9WVI9	JIP1_MOUSE	reviewed	C-Jun-amino-terminal kinase-interacting protein 1 (JIP-1) (JNK-interacting protein 1) (Islet-brain-1) (IB-1) (JNK MAP kinase scaffold protein 1) (Mitogen-activated protein kinase 8-interacting protein 1)	Mapk8ip1 Ib1 Jip1 Mapk8ip Prkm8ip	Mus musculus (Mouse)	707
Q14B80	KCNC2_MOUSE	reviewed	Potassium voltage-gated channel subfamily C member 2 (Shaw-like potassium channel) (Voltage-gated potassium channel Kv3.2)	Kcnc2	Mus musculus (Mouse)	642
O60259	KLK8_HUMAN	reviewed	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322	Homo sapiens (Human)	260
Q9W0K0	JIP1_DROME	reviewed	JNK-interacting protein 1 (JIP-1) (APP-like-interacting protein 1) (APLIP1) (Protein eye developmental SP512)	Aplip1 SP512 CG1200	Drosophila melanogaster (Fruit fly)	490
P48730	KC1D_HUMAN	reviewed	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	Homo sapiens (Human)	415
Q9Y287	ITM2B_HUMAN	reviewed	Integral membrane protein 2B (Immature BRI2) (imBRI2) (Protein E25B) (Transmembrane protein BRI) (Bri) [Cleaved into: BRI2, membrane form (Mature BRI2) (mBRI2); BRI2 intracellular domain (BRI2 ICD); BRI2C, soluble form; Bri23 peptide (Bri2-23) (ABri23) (C-terminal peptide) (P23 peptide)]	ITM2B BRI BRI2	Homo sapiens (Human)	266
Q92876	KLK6_HUMAN	reviewed	Kallikrein-6 (EC 3.4.21.-) (Neurosin) (Protease M) (SP59) (Serine protease 18) (Serine protease 9) (Zyme)	KLK6 PRSS18 PRSS9	Homo sapiens (Human)	244
P23132	LITH_BOVIN	reviewed	Lithostathine (Islet cells regeneration factor) (ICRF) (Islet of Langerhans regenerating protein) (REG) (Pancreatic stone protein) (PSP) (Pancreatic thread protein) (PTP) [Cleaved into: Lithostathine A chain; Lithostathine B chain]	PTP	Bos taurus (Bovine)	175
Q14114	LRP8_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	LRP8 APOER2	Homo sapiens (Human)	963
Q80U28	MADD_MOUSE	reviewed	MAP kinase-activating death domain protein (Rab3 GDP/GTP exchange factor)	Madd Kiaa0358	Mus musculus (Mouse)	1577
P09650	MCPT1_RAT	reviewed	Mast cell protease 1 (rMCP-1) (EC 3.4.21.39) (Chymase) (Chymotrypsin-like protease) (CLIP protein) (Mast cell protease I) (rMCP-I)	Mcpt1	Rattus norvegicus (Rat)	260
Q9P0L2	MARK1_HUMAN	reviewed	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	MARK1 KIAA1477 MARK	Homo sapiens (Human)	795
Q96L34	MARK4_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	Homo sapiens (Human)	752
O08873	MADD_RAT	reviewed	MAP kinase-activating death domain protein (Rab3 GDP/GTP exchange factor)	Madd	Rattus norvegicus (Rat)	1602
Q8WXG6	MADD_HUMAN	reviewed	MAP kinase-activating death domain protein (Differentially expressed in normal and neoplastic cells) (Insulinoma glucagonoma clone 20) (Rab3 GDP/GTP exchange factor)	MADD DENN IG20 KIAA0358	Homo sapiens (Human)	1647
P56270	MAZ_HUMAN	reviewed	Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor) (Serum amyloid A-activating factor-1) (SAF-1) (Transcription factor Zif87) (ZF87) (Zinc finger protein 801)	MAZ ZNF801	Homo sapiens (Human)	477
P25713	MT3_HUMAN	reviewed	Metallothionein-3 (MT-3) (GIFB) (GIF) (Growth inhibitory factor) (Metallothionein-III) (MT-III)	MT3	Homo sapiens (Human)	68
P11137	MTAP2_HUMAN	reviewed	Microtubule-associated protein 2 (MAP-2)	MAP2	Homo sapiens (Human)	1827
P02795	MT2_HUMAN	reviewed	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)	MT2A CES1 MT2	Homo sapiens (Human)	61
O96009	NAPSA_HUMAN	reviewed	Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02)	NAPSA NAP1 NAPA	Homo sapiens (Human)	420
Q9Y2A7	NCKP1_HUMAN	reviewed	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)	1128
Q9QYG0	NDRG2_MOUSE	reviewed	Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Ndr2)	Ndrg2 Kiaa1248 Ndr2	Mus musculus (Mouse)	371
Q9HDB5	NRX3B_HUMAN	reviewed	Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]	NRXN3 KIAA0743	Homo sapiens (Human)	637
Q9UN36	NDRG2_HUMAN	reviewed	Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Syld709613)	NDRG2 KIAA1248 SYLD	Homo sapiens (Human)	371
Q92686	NEUG_HUMAN	reviewed	Neurogranin (Ng) (RC3) [Cleaved into: NEUG(55-78)]	NRGN	Homo sapiens (Human)	78
P49757	NUMB_HUMAN	reviewed	Protein numb homolog (h-Numb) (Protein S171)	NUMB	Homo sapiens (Human)	651
O62698	PGH2_BOVIN	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Bos taurus (Bovine)	604
O62725	PGH2_NEOVI	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Neovison vison (American mink) (Mustela vison)	604
P79208	PGH2_SHEEP	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Ovis aries (Sheep)	603
Q96IZ0	PAWR_HUMAN	reviewed	PRKC apoptosis WT1 regulator protein (Prostate apoptosis response 4 protein) (Par-4)	PAWR PAR4	Homo sapiens (Human)	340
P12815	PDCD6_MOUSE	reviewed	Programmed cell death protein 6 (ALG-257) (PMP41) (Probable calcium-binding protein ALG-2)	Pdcd6 Alg2	Mus musculus (Mouse)	191
Q62829	PAK3_RAT	reviewed	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (p21-activated kinase 3) (PAK-3) (p65-PAK)	Pak3	Rattus norvegicus (Rat)	544
Q9UHG2	PCSK1_HUMAN	reviewed	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]	PCSK1N	Homo sapiens (Human)	260
Q92508	PIEZ1_HUMAN	reviewed	Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A)	PIEZO1 FAM38A KIAA0233	Homo sapiens (Human)	2521
Q8IV08	PLD3_HUMAN	reviewed	Phospholipase D3 (PLD 3) (EC 3.1.4.4) (Choline phosphatase 3) (HindIII K4L homolog) (Hu-K4) (Phosphatidylcholine-hydrolyzing phospholipase D3)	PLD3	Homo sapiens (Human)	490
Q8HZR1	PGH1_CANLF	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Canis lupus familiaris (Dog) (Canis familiaris)	603
P22437	PGH1_MOUSE	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	Ptgs1 Cox-1 Cox1	Mus musculus (Mouse)	602
P05979	PGH1_SHEEP	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Ovis aries (Sheep)	600
Q05769	PGH2_MOUSE	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (Glucocorticoid-regulated inflammatory cyclooxygenase) (Gripghs) (Macrophage activation-associated marker protein P71/73) (PES-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2) (TIS10 protein)	Ptgs2 Cox-2 Cox2 Pghs-b Tis10	Mus musculus (Mouse)	604
Q08209	PP2BA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform)	PPP3CA CALNA CNA	Homo sapiens (Human)	521
P35355	PGH2_RAT	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	Ptgs2 Cox-2 Cox2	Rattus norvegicus (Rat)	604
P23219	PGH1_HUMAN	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Homo sapiens (Human)	599
